"Story","Title","Result","Date","Stability","Duration (s)"
"CAP_F_003 - Valorar publicacion de blog","Cargando el Post a Valorar","SUCCESS","2021-11-18T15:56:41.917-05:00[America/Bogota]","0.0","70.78"
"CAP_F_005 - Visualizar el Contenido de Siguenos en Redes Sociales","Cargando la Web de Referencia","SUCCESS","2021-11-18T15:57:52.706-05:00[America/Bogota]","0.0","21.84"
"CAP_F_008 - Cambiar Idioma de la Web","Cargando la web a Traducir","SUCCESS","2021-11-18T15:58:15.926-05:00[America/Bogota]","0.0","11.93"
"CAP_F_012 - Buscar Contenido en la Web de Portales (Buscador Generico)","Cargando la pagina en donde se buscara","SUCCESS","2021-11-18T15:58:28.832-05:00[America/Bogota]","0.0","49.27"
"CAP_F_013 - Buscar Contenido en la Web de Portales (Buscador de Tramites)","Cargando la pagina en donde se buscara","ERROR","2021-11-18T15:59:18.113-05:00[America/Bogota]","0.0","25.39"
"CAP_F_014 - Buscar Contenido en la Web de Portales","Cargando la pagina en donde se buscara","SUCCESS","2021-11-18T15:59:43.516-05:00[America/Bogota]","0.0","34.34"
"CAP_F_015 - Buscar Contenido en la Web de Portales","Cargando la pagina en donde se buscara","ERROR","2021-11-18T16:00:17.863-05:00[America/Bogota]","0.0","90.21"
"CAP_F_016A - Buscar Contenido en la Web de Portales (Buscador Audios)","Cargando la pagina en donde se buscara","SUCCESS","2021-11-18T16:01:48.088-05:00[America/Bogota]","0.0","35.05"
"CAP_F_016B - Buscar Contenido en la Web de Portales (Buscador Imagenes)","Cargando la pagina en donde se buscara","SUCCESS","2021-11-18T16:02:23.17-05:00[America/Bogota]","0.0","39.23"
"CAP_F_016C - Buscar Contenido en la Web de Portales (Buscador Audios)","Cargando la pagina en donde se buscara","SUCCESS","2021-11-18T16:03:02.405-05:00[America/Bogota]","0.0","35.66"
"CAP_F_018 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:03:38.073-05:00[America/Bogota]","0.0","15.05"
"CAP_F_021 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:03:54.158-05:00[America/Bogota]","0.0","26.83"
"CAP_F_026 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:04:21.01-05:00[America/Bogota]","0.0","30.03"
"CAP_F_034 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:04:51.056-05:00[America/Bogota]","0.0","26.49"
"CAP_F_041 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:05:17.564-05:00[America/Bogota]","0.0","18.99"
"CAP_F_045 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:05:36.573-05:00[America/Bogota]","0.0","69.06"
"CAP_F_049 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:06:45.64-05:00[America/Bogota]","0.0","50.66"
"CAP_F_052 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:07:36.323-05:00[America/Bogota]","0.0","52.3"
"CAP_F_056 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:08:28.634-05:00[America/Bogota]","0.0","19.95"
"CAP_F_057 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:08:48.596-05:00[America/Bogota]","0.0","21.25"
"CAP_F_060 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:09:09.857-05:00[America/Bogota]","0.0","19.36"
"CAP_F_061 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:09:29.234-05:00[America/Bogota]","0.0","19.34"
"CAP_F_066 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:09:48.584-05:00[America/Bogota]","0.0","19.38"
"CAP_F_068 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:10:07.968-05:00[America/Bogota]","0.0","19.74"
"CAP_F_073 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:10:27.721-05:00[America/Bogota]","0.0","17.64"
"CAP_F_075 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:10:45.375-05:00[America/Bogota]","0.0","17.26"
"CAP_F_080 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:11:02.648-05:00[America/Bogota]","0.0","41.01"
"CAP_F_084 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:11:43.669-05:00[America/Bogota]","0.0","41.38"
"CAP_F_087 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:12:25.069-05:00[America/Bogota]","0.0","40.23"
"CAP_F_090 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:13:05.314-05:00[America/Bogota]","0.0","41.63"
"CAP_F_101 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:13:46.96-05:00[America/Bogota]","0.0","20.36"
"CAP_F_104 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:14:07.329-05:00[America/Bogota]","0.0","17.64"
"CAP_F_107 - Validar estado de la Web","Cargando la web","SUCCESS","2021-11-18T16:14:24.98-05:00[America/Bogota]","0.0","17.45"
"CAP_F_005 - Acceso a la ficha de un Espacio Natural","Acceso a la ficha de un Espacio Natural","SUCCESS","2021-12-08T03:00:45.5661459-05:00[America/Lima]","0.0","39.01"
